scale_cpu,2.5,2.0,1.6,1.28,1.02,0.82,0.66,0.53
scale_gpu,1.25,1.0,0.8,0.64,0.51,0.41,0.33,0.26
fast_cpu,25.0,20.0,16.0,12.8,10.24,8.19,6.55,5.24
fast_gpu,2.0,1.6,1.28,1.02,0.82,0.66,0.53,0.42
fast_cpu_gpu_copy,0.4,0.32,0.26,0.21,0.17,0.14,0.11,0.09
grid_cpu,7.0,5.6,4.48,3.58,2.86,2.29,1.83,1.46
grid_cpu_gpu_copy,0.5,0.4,0.32,0.26,0.21,0.17,0.14,0.11
gauss_cpu,2.8,2.24,1.79,1.43,1.14,0.91,0.73,0.58
gauss_gpu,0.5,0.4,0.32,0.26,0.21,0.17,0.14,0.11
orb_cpu,3.6,2.88,2.3,1.84,1.47,1.18,0.94,0.75
orb_gpu,2.2,1.76,1.41,1.13,0.9,0.72,0.58,0.46
orb_cpu_gpu_copy,0.5,0.4,0.32,0.26,0.21,0.17,0.14,0.11
super_cpu,33
super_gpu,33
deep_learning_cpu,-1
deep_learning_gpu,15